no,goods,mdl,re_date,end_date,period,m_streech,remark,unused,js,ffbz,card,dcdh,re1_date,send_t,"wzbh
"
1006,棉上衣,,2017/5/1 0:00,2020/5/1 0:00,36,0,,0,,,lb,,2014/5/1 0:00,2017-12-31 13:41:41:703,"
"
2882,水鞋,1,2018/7/1 0:00,2024/7/1 0:00,72,0,,0,,,lb,,2012/8/1 0:00,2019-8-20 20:20:59:016,"
"
3116,劳保眼镜,,2019/8/23 0:00,2024/8/23 0:00,60,0,已不享用,1,,,lb,,,,"
"
2402,棉皮鞋,,2016/8/7 0:00,2020/8/7 0:00,48,0,,0,,,lb,,2012/8/7 0:00,2016-12-31 09:49:51:64,"
"
552,劳保眼镜,1,2016/9/1 0:00,2021/9/1 0:00,60,0,,0,0,,lb,,2011/9/1 0:00,2016-12-31 10:04:30:126,"
"
863,劳保眼镜,1,2019/9/1 0:00,2024/9/1 0:00,60,0,,0,,,lb,,2014/9/1 0:00,2020-1-3 14:18:42:12,"
"
2196,高压绝缘鞋,,2020/4/30 0:00,2023/4/30 0:00,36,0,已不享用,1,,,lb,,,,"
"
2942,工作服上衣,1,2010/1/4 0:00,2012/12/4 0:00,24,11,,0,,,lb,,,2010-9-21 09:27:32:26,"
"
1440,水鞋,1,2016/12/1 0:00,2022/12/1 0:00,72,0,,0,0,,lb,,2011/8/1 0:00,2016-12-31 08:56:05:296,"
"
160,棉上衣,,2016/8/16 0:00,2019/8/16 0:00,36,0,已不享用,1,,,lb,,2013/8/16 0:00,2016-12-31 09:41:29:406,"
"
2715,单皮鞋,,2020/1/3 0:00,2025/1/3 0:00,60,0,,0,,,lb,,,,"
"
11,雨衣,1,2011/6/1 0:00,2021/6/1 0:00,120,0,,0,0,,lb,,2001/6/1 0:00,2012-1-4 14:20:08:046,"
"
1011,雨衣,1,2011/5/1 0:00,2021/5/1 0:00,120,0,,0,0,,lb,,2001/5/1 0:00,2012-1-4 13:46:43:923,"
"
1011,水鞋,1,2019/5/1 0:00,2025/5/1 0:00,72,0,,0,0,,lb,,2013/5/1 0:00,2020-1-3 14:01:59:826,"
"
1450,单皮鞋,,2019/2/1 0:00,2020/8/1 0:00,18,0,,0,,,lb,,2017/8/1 0:00,2020-1-3 11:07:10:956,"
"
288,棉皮鞋,,2019/7/15 0:00,2023/7/15 0:00,48,0,,0,,,lb,,,,"
"
611,劳保眼镜,1,2016/12/1 0:00,2021/12/1 0:00,60,0,,0,0,,lb,,2011/12/1 0:00,2016-12-31 09:18:12:53,"
"
619,劳保眼镜,1,2016/8/1 0:00,2021/8/1 0:00,60,0,,0,0,,lb,,2011/8/1 0:00,2016-12-31 09:06:06:686,"
"
649,劳保眼镜,1,2016/8/1 0:00,2021/8/1 0:00,60,0,,0,0,,lb,,2011/8/1 0:00,2016-12-31 10:04:30:186,"
"
662,劳保眼镜,1,2016/12/1 0:00,2021/12/1 0:00,60,0,已不享用,1,0,,lb,,2011/12/1 0:00,2016-12-31 10:04:30:233,"
"
645,水鞋,1,2017/7/1 0:00,2021/7/1 0:00,48,0,,0,0,,lb,,2013/7/1 0:00,2017-12-31 14:45:18:376,"
"
2210,水鞋,1,2017/9/1 0:00,2021/9/1 0:00,48,0,,0,0,,lb,,2013/9/1 0:00,2017-12-31 14:39:45:39,"
"
1301,棉皮鞋,1,2017/3/23 0:00,2021/3/23 0:00,48,0,已不享用,1,,,lb,,2013/3/23 0:00,2017-12-31 14:30:21:983,"
"
1041,劳保眼镜,,2015/10/1 0:00,2020/10/1 0:00,60,0,,0,,,lb,,,,"
"
1890,棉短大衣,1,2014/1/1 0:00,2020/1/1 0:00,72,0,,0,0,,lb,,2008/1/1 0:00,2015-1-12 16:15:41:253,"
"
156,棉短大衣,1,2015/7/1 0:00,2022/7/1 0:00,84,0,,0,0,,lb,,2008/7/1 0:00,2015-12-31 10:26:47:803,"
"
527,高压绝缘鞋,,2019/12/20 0:00,2021/6/20 0:00,18,0,,0,,,lb,,,,"
"
334,劳保眼镜,,2016/5/13 0:00,2021/5/13 0:00,60,0,,0,,,lb,,,,"
"
2196,劳保眼镜,,2020/4/30 0:00,2025/4/30 0:00,60,0,,0,,,lb,,,,"
"
1141,布胶鞋,1,2009/8/1 0:00,2010/8/1 0:00,12,0,已不享用,1,,,lb,,2008/8/1 0:00,2009-12-31 09:43:22:46,"
"
175,棉短大衣,1,2015/11/1 0:00,2022/5/1 0:00,84,-6,,0,,,lb,,2009/6/1 0:00,2015-12-31 09:07:44:83,"
"
175,劳保眼镜,1,2009/1/1 0:00,2014/1/1 0:00,60,0,已不享用,1,,,lb,,2004/1/1 0:00,2009-12-31 09:30:20:793,"
"
2196,棉帽,,2020/4/30 0:00,2022/4/30 0:00,24,0,已不享用,1,,,lb,,,,"
"
526,棉帽,,2017/1/6 0:00,2020/1/6 0:00,36,0,已不享用,1,,,lb,,,,"
"
171,雨衣,1,2012/11/1 0:00,2022/11/1 0:00,120,0,,0,,,lb,,2004/8/1 0:00,2013-1-8 10:41:59:753,"
"
1230,水鞋,1,2017/12/1 0:00,2021/12/1 0:00,48,0,,0,0,,lb,,2013/12/1 0:00,2017-12-31 14:30:41:14,"
"
1234,水鞋,1,2017/12/1 0:00,2021/12/1 0:00,48,0,,0,0,,lb,,2013/12/1 0:00,2017-12-31 14:30:41:156,"
"
1269,棉上衣,,2010/9/29 0:00,2013/9/29 0:00,36,0,已不享用,1,,,lb,,,,"
"
