standard,name,period,card,wzbh,dq,sl
12,水鞋,72,lb,,,
12,工作帽,30,lb,,,
12,雨衣,96,lb,,,
12,工作服下衣,30,lb,,,
12,棉短大衣,84,lb,,,
12,工作服上衣,30,lb,,,
18,雨衣,120,lb,,,
18,工作帽,36,lb,,,
18,棉短大衣,84,lb,,,
18,工作服上衣,36,lb,,,
18,水鞋,72,lb,,,
18,工作服下衣,36,lb,,,
22,工作帽,36,lb,,,
22,棉短大衣,84,lb,,,
22,工作服上衣,36,lb,,,
22,水鞋,72,lb,,,
22,工作服下衣,36,lb,,,
22,雨衣,120,lb,,,
23,工作服上衣,36,lb,,,
23,水鞋,36,lb,,,
23,雨衣,60,lb,,,
23,单皮鞋,24,lb,,,
23,棉皮鞋,48,lb,,,
23,棉帽,48,lb,,,
23,工作服下衣,36,lb,,,
23,工作帽,36,lb,,,
23,劳保眼镜,60,lb,,,
23,棉短大衣,48,lb,,,
24,劳保眼镜,60,lb,,,
24,工作帽,24,lb,,,
24,工作服上衣,24,lb,,,
24,棉短大衣,60,lb,,,
24,工作服下衣,24,lb,,,
24,雨衣,120,lb,,,
24,水鞋,48,lb,,,
28,工作服上衣,18,lb,,,
28,棉短大衣,60,lb,,,
28,工作帽,18,lb,,,
28,雨衣,72,lb,,,
28,布胶鞋,24,lb,,,
28,水鞋,48,lb,,,
28,工作服下衣,18,lb,,,
31,工作服下衣,24,lb,,,
31,布胶鞋,24,lb,,,
31,劳保眼镜,60,lb,,,
31,雨衣,96,lb,,,
31,工作帽,24,lb,,,
31,棉短大衣,72,lb,,,
31,工作服上衣,24,lb,,,
31,水鞋,72,lb,,,
34,工作帽,18,lb,,,
34,工作服上衣,18,lb,,,
34,工作服下衣,18,lb,,,
34,布胶鞋,12,lb,,,
34,棉短大衣,48,lb,,,
34,水鞋,24,lb,,,
34,雨衣,84,lb,,,
34,棉皮鞋,72,lb,,,
35,工作帽,24,lb,,,
35,工作服上衣,24,lb,,,
35,棉帽,36,lb,,,
35,棉短大衣,60,lb,,,
35,劳保眼镜,60,lb,,,
35,工作服下衣,24,lb,,,
35,雨衣,72,lb,,,
35,棉皮鞋,72,lb,,,
35,水鞋,48,lb,,,
38,水鞋,72,lb,,,
38,工作帽,18,lb,,,
38,工作服下衣,18,lb,,,
38,雨衣,96,lb,,,
38,单皮鞋,24,lb,,,
