no,name,remark,cata,jhj,card,dcdh,wzbh,"dq
"
4,棉短大衣,1.10E+14,物品,135,lb,,,"
"
1,工作服上衣,,物品,0,lb,,,"
"
21,白上衣,1.10E+14,物品,12,lb,,,"
"
18,围裙,1.10E+14,物品,4.5,lb,,,"
"
17,套袖,1.10E+14,物品,1,lb,,,"
"
20,大夫帽,1.10E+14,物品,1.9,lb,,,"
"
6,棉帽,1.10E+14,物品,20,lb,,,"
"
13,水鞋,1.10E+14,物品,35,lb,,,"
"
11,棉皮鞋,1.10E+14,物品,35,lb,,,"
"
19,单皮鞋,1.10E+14,物品,35,lb,,,"
"
8,布胶鞋,1.10E+14,物品,21,lb,,,"
"
9,耐油鞋,1.10E+14,物品,21,lb,,,"
"
12,雨衣,1.10E+14,物品,64,lb,,,"
"
3,棉上衣,1.10E+14,物品,90,lb,,,"
"
2,工作服下衣,,物品,0,lb,,,"
"
14,劳保眼镜,1.10E+14,物品,18,lb,,,"
"
10,防静电鞋,1.10E+14,物品,30,lb,,,"
"
15,披肩帽,1.10E+14,物品,5.2,lb,,,"
"
16,白大褂,1.10E+14,物品,32,lb,,,"
"
18,18,话务员,工种,0,lb,,,"
"
19,19,库工（各队库工、仓库保管员）,工种,0,lb,,,"
"
20,20,热力试验（热试、金相组）,工种,0,lb,,,"
"
21,21,车间清扫工（清洁工）,工种,0,lb,,,"
"
22,22,管理人员,工种,0,lb,,,"
"
23,23,施工人员（集团公司工程部施工员）,工种,0,lb,,,"
"
24,24,小车司机（集团公司服务车队小车司机）,工种,0,lb,,,"
"
25,25,医生及护士（集团公司职工医院医生及护士）,工种,0,lb,,,"
"
26,26,保温工（综合队土建队）,工种,0,lb,,,"
"
27,27,空调机检修工（综合队暖通班）,工种,0,lb,,,"
"
28,28,水暖检修工（物业公司修缮队、其中电工执行变配电标准）,工种,0,lb,,,"
"
29,29,绿化工（物业公司绿化队）,工种,0,lb,,,"
"
30,30,铸造工（工业公司铸造工）,工种,0,lb,,,"
"
31,31,车、洗、刨、钻工（工业公司修配厂伸缩节厂）,工种,0,lb,,,"
"
32,32,大车司机（运输公司货车司机）,工种,0,lb,,,"
"
33,33,印刷装订工（工业公司印刷厂）,工种,0,lb,,,"
"
34,34,专瓦工（开发公司建安一、二公司）,工种,0,lb,,,"
"
35,35,工程车司机（机械化、灰场管理工程车司机）,工种,0,lb,,,"
"
36,36,安全员（各公司安全员）,工种,0,lb,,,"
"
37,37,韩工（全厂电焊工、气焊工）,工种,0,lb,,,"
"
38,38,前工（热力器材厂、机修厂、开关厂、铝合金厂相关工种）,工种,0,lb,,,"
"
39,39,木工（集团公司、综合队木工）,工种,0,lb,,,"
"
41,41,炊事员（物业公司饮食分公司）,工种,0,lb,,,"
"
42,42,风磨检修工（风磨班）,工种,0,lb,,,"
"
43,43,中速磨检修工（中速磨班）,工种,0,lb,,,"
"
44,44,给煤机、球磨检修工（给煤机班、球磨班）,工种,0,lb,,,"
"
45,45,采购员,工种,0,lb,,,"
"
46,46,汽车修理工（运输公司汽车修理工）,工种,0,lb,,,"
"
47,47,热工队检修工（热工分场）,工种,0,lb,,,"
"
40,40,幼儿园教师及保育员（物业公司幼儿园）,工种,0,lb,,,"
"
48,48,原库工,工种,0,lb,,,"
"
49,49,,工种,0,lb,,,"
"
5,5,一。二分场锅炉运行人员。二分厂除灰运行人员,工种,0,lb,,,"
"
9,9,"一。二分厂电气运行人员,值长.",工种,0,lb,,,"
"
1,1,煤运各班。厂外一。厂外二班,工种,0,lb,,,"
"
2,2,煤修甲班。乙班。开发燃料检修,工种,0,lb,,,"
"
3,3,燃油值班工,工种,0,lb,,,"
"
4,4,煤管班,工种,0,lb,,,"
"
6,6,"锅炉队。本体班。管阀班。综合班。灰水队风机一二班。辅机班,吹灰工",工种,0,lb,,,"
"
7,7,一。二分场 汽机运行人员,工种,0,lb,,,"
"
8,8,汽机队本体。辅机。调速。管阀。水泵。外水班。综合起重。机务班,工种,0,lb,,,"
"
10,10,电气高压班。低压班。综合队电气队。灰水电除尘班 燃料电修班,工种,0,lb,,,"
"
11,11,电气队电机班,工种,0,lb,,,"
"
12,12,化学分场运行各班人员,工种,0,lb,,,"
"
13,13,化学分场检修。 仪表班。,工种,0,lb,,,"
"
14,14,化验员。工业公司清洗公司,工种,0,lb,,,"
"
15,15,化学制氢制  值班工,工种,0,lb,,,"
"
16,16,电气队保护班。高压试验班,工种,0,lb,,,"
"
17,17,电气队通讯班检修工（含远动、微波、通讯检修工）,工种,0,lb,,,"
"
50,50,,工种,0,lb,,,"
"
7,高压绝缘鞋,1.10E+14,物品,21,lb,,,"
"
